id;name;addr;city;phone;type;ID_DEAD;TIMESTAMP;NEW REFERENCE
187;'bill\'s place';'2315 clement st.';'san francisco';415-221-5262;hamburgers;;;
726;'billy\'s';'948 1st ave.  between 52nd and 53rd sts.';'new york';212/753-1870;american;;;
962;'binion\'s coffee shop';'128 fremont st.';'las vegas';702/382-1600;'coffee shops/diners';;;
920;bistango;'1100 peachtree st.';atlanta;404/724-0901;mediterranean;;;
963;bistro;'3400 las vegas blvd. s';'las vegas';702/791-7111;continental;;;
146;'bistro  the';'56 e. andrews dr. nw';atlanta;404-231-5733;'french bistro';;;
7;'bistro 45';'45 s. mentor ave.';pasadena;818-795-2478;californian;;;
652;'bistro garden';'176 n. canon dr.';'los angeles';310/550-3900;californian;;;
991;'bistro roti';'155 steuart st.';'san francisco';415/495-6500;french;;;
992;bix;'56 gold st.';'san francisco';415/433-6300;american;;;
993;bizou;'598 fourth st.';'san francisco';415/543-2222;french;;;
147;'bobby & june\'s kountry kitchen';'375 14th st.';atlanta;404-876-3872;southern/soul;;;
727;'boca chica';'13 1st ave.  near 1st st.';'new york';212/473-0108;'latin american';;;
646;bolo;'23 e. 22nd st.';'new york';212/228-2200;mediterranean;;;
610;'bone\'s';'3130 piedmont road';atlanta;404/237-2663;american;;;
295;'bone\'s restaurant';'3130 piedmont rd. ne';atlanta;404-237-2663;steakhouses;;;
728;boonthai;'1393a 2nd ave.  between 72nd and 73rd sts.';'new york';212/249-8484;asian;;;
653;'border grill';'4th st.';'los angeles';310/451-1655;mexican;;;
630;boulevard;'1 mission st.';'san francisco';415/543-6084;american;;;
315;boulevard;'1 mission st.';'san francisco';415-543-6084;'american (new)';;;
729;bouterin;'420 e. 59th st.  off 1st ave.';'new york';212/758-0323;french;;;
148;'bradshaw\'s restaurant';'2911 s. pharr court';atlanta;404-261-7015;southern/soul;;;
611;'brasserie le coze';'3393 peachtree rd.  lenox square mall  near neiman marcus';atlanta;404/266-1440;french;;;
296;'brasserie le coze';'3393 peachtree rd.';atlanta;404-266-1440;'french bistro';;;
8;'brent\'s deli';'19565 parthenia ave.';northridge;818-886-5679;delis;;;
9;'brighton coffee shop';'9600 brighton way';'beverly hills';310-276-7732;'coffee shops';;;
10;'bristol farms market cafe';'1570 rosecrans ave. s.';pasadena;310-643-5229;californian;;;
654;'broadway deli';'3rd st. promenade';'santa monica';310/451-0616;american;;;
964;broiler;'4111 boulder hwy.';'las vegas';702/432-7777;american;;;
149;'brookhaven cafe';'4274 peachtree rd.';atlanta;404-231-5907;vegetarian;;;
730;'brothers bar-b-q';'225 varick st. at clarkston st.';'new york';212/727-2775;american;;;
731;bruno;'240 e. 58th st.';'new york';212/688-4190;italian;;;
11;'bruno\'s';'3838 centinela ave.';'mar vista';310-397-5703;italian;;;
732;'bryant park grill  roof restaurant and bp cafe';'25 w. 40th st.  between 5th and 6th aves.';'new york';212/840-6500;american;;;
994;'buca giovanni';'800 greenwich st.';'san francisco';415/776-7766;italian;;;
124;'buccaneer bay club';'3300 las vegas blvd. s.';'las vegas';702-894-7350;continental;;;
612;'buckhead diner';'3073 piedmont road';atlanta;404/262-3336;american;;;
297;'buckhead diner';'3073 piedmont rd.';atlanta;404-262-3336;'american (new)';;;
965;'bugsy\'s diner';'3555 las vegas blvd. s';'las vegas';702/733-3111;'coffee shops/diners';;;
125;'buzio\'s in the rio';'3700 w. flamingo rd.';'las vegas';702-252-7697;seafood;;;
733;c3;'103 waverly pl.  near washington sq.';'new york';212/254-1200;american;;;
655;'ca\'brea';'346 s. la brea ave.';'los angeles';213/938-2863;italian;;;
656;'ca\'del sol';'4100 cahuenga blvd.';'los angeles';818/985-4669;italian;;;
623;'cafe  ritz-carlton  buckhead';'3434 peachtree rd.';atlanta;404/237-2700;'ext 6108 international';;;
12;'cafe \'50s';'838 lincoln blvd.';venice;310-399-1955;american;;;
995;'cafe adriano';'3347 fillmore st.';'san francisco';415/474-4180;italian;;;
735;'cafe bianco';'1486 2nd ave.  between 77th and 78th sts.';'new york';212/988-2655;'coffee bar';;;
537;'cafe bizou';'14016 ventura blvd.';'sherman oaks';818/788-3536;french;;;
222;'cafe bizou';'14016 ventura blvd.';'sherman oaks';818-788-3536;'french bistro';;;
13;'cafe blanc';'9777 little santa monica blvd.';'beverly hills';310-888-0108;'pacific new wave';;;
736;'cafe botanica';'160 central park s';'new york';212/484-5120;french;;;
740;'cafe centro';'200 park ave.  between 45th st. and vanderbilt ave.';'new york';212/818-1222;french;;;
631;'cafe claude';'7 claude la.';'san francisco';415/392-3505;french;;;
316;'cafe claude';'7 claude ln.';'san francisco';415-392-3505;'french bistro';;;
72;'cafe con leche';'424 amsterdam ave.';'new york city';212-595-7000;cuban;;;
561;'cafe des artistes';'1 w. 67th st.';'new york';212/877-3500;continental;;;
246;'cafe des artistes';'1 w. 67th st.';'new york city';212-877-3500;'french (classic)';;;
741;'cafe fes';'246 w. 4th st. at charles st.';'new york';212/924-7653;mediterranean;;;
188;'cafe flore';'2298 market st.';'san francisco';415-621-8579;californian;;;
737;'cafe la fortuna';'69 w. 71st st.';'new york';212/724-5846;'coffee bar';;;
560;'cafe lalo';'201 w. 83rd st.';'new york';212/496-6031;'coffee bar';;;
245;'cafe lalo';'201 w. 83rd st.';'new york city';212-496-6031;coffeehouses;;;
738;'cafe luxembourg';'200 w. 70th st.';'new york';212/873-7411;french;;;
996;'cafe marimba';'2317 chestnut st.';'san francisco';415/776-1506;'mexican/latin american/spanish';;;
966;'cafe michelle';'1350 e. flamingo rd.';'las vegas';702/735-8686;american;;;
739;'cafe pierre';'2 e. 61st st.';'new york';212/940-8185;french;;;
657;'cafe pinot';'700 w. fifth st.';'los angeles';213/239-6500;californian;;;
921;'cafe renaissance';'7050 jimmy carter blvd.  norcross';atlanta;770/441--0291;american;;;
967;'cafe roma';'3570 las vegas blvd. s';'las vegas';702/731-7547;'coffee shops/diners';;;
150;'cafe sunflower';'5975 roswell rd.';atlanta;404-256-1675;'health food';;;
748;'caffe bondi ristorante';'7 w. 20th st.';'new york';212/691-8136;italian;;;
742;'caffe dante';'81 macdougal st.  between houston and bleeker sts.';'new york';212/982-5275;'coffee bar';;;
743;'caffe dell\'artista';'46 greenwich ave.';'new york';212/645-4431;'coffee bar';;;
189;'caffe greco';'423 columbus ave.';'san francisco';415-397-6261;continental;;;
744;'caffe lure';'169 sullivan st.  between houston and bleecker sts.';'new york';212/473-2642;french;;;
745;'caffe reggio';'119 macdougal st.  between 3rd and bleecker sts.';'new york';212/475-9557;'coffee bar';;;
746;'caffe roma';'385 broome st. at mulberry';'new york';212/226-8413;'coffee bar';;;
747;'caffe vivaldi';'32 jones st. at bleecker st.';'new york';212/691-7538;'coffee bar';;;
997;'california culinary academy';'625 polk st.';'san francisco';415/771-3500;french;;;
658;'california pizza kitchen';'207 s. beverly dr.';'los angeles';310/275-1101;californian;;;
922;'camille\'s';'1186 n. highland ave.';atlanta;404/872-7203;italian;;;
538;campanile;'624 s. la brea ave.';'los angeles';213/938-1447;american;;;
223;campanile;'624 s. la brea ave.';'los angeles';213-938-1447;californian;;;
190;'campo santo';'240 columbus ave.';'san francisco';415-433-9623;mexican;;;
632;'campton place';'340 stockton st.';'san francisco';415/955-5555;american;;;
317;'campton place';'340 stockton st.';'san francisco';415-955-5555;'american (new)';;;
151;canoe;'4199 paces ferry rd.';atlanta;770-432-2663;'american (new)';;;
659;'canter\'s';'419 n. fairfax ave.';'los angeles';213/651-2030.;american;;;
968;'capozzoli\'s';'3333 s. maryland pkwy.';'las vegas';702/731-5311;italian;;;
998;'capp\'s corner';'1600 powell st.';'san francisco';415/989-2589;italian;;;
749;'capsouto freres';'451 washington st.  near watts st.';'new york';212/966-4900;french;;;
750;'captain\'s table';'860 2nd ave. at 46th st.';'new york';212/697-9538;seafood;;;
152;'carey\'s';'1021 cobb pkwy. se';marietta;770-422-8042;hamburgers;;;
153;'carey\'s corner';'1215 powers ferry rd.';marietta;770-933-0909;hamburgers;;;
562;'carmine\'s';'2450 broadway  between 90th and 91st sts.';'new york';212/362-2200;italian;;;
247;'carmine\'s';'2450 broadway';'new york city';212-362-2200;italian;;;
563;'carnegie deli';'854 7th ave.  between 54th and 55th sts.';'new york';212/757-2245;delicatessen;;;
248;'carnegie deli';'854 seventh ave.';'new york city';212-757-2245;delis;;;
969;'carnival world';'3700 w. flamingo rd.';'las vegas';702/252-7777;buffets;;;
999;carta;'1772 market st.';'san francisco';415/863-3516;american;;;
751;'casa la femme';'150 wooster st.  between houston and prince sts.';'new york';212/505-0005;'middle eastern';;;
14;'cassell\'s';'3266 w. sixth st.';la;213-480-8668;hamburgers;;;
923;cassis;'3300 peachtree rd.  grand hyatt';atlanta;404/365-8100;mediterranean;;;
660;cava;'3rd st.';'los angeles';213/658-8898;mediterranean;;;
752;'cendrillon asian grill & marimba bar';'45 mercer st.  between broome and grand sts.';'new york';212/343-9012;asian;;;
970;'center stage plaza hotel';'1 main st.';'las vegas';702/386-2512;american;;;
661;'cha cha cha';'656 n. virgil ave.';'los angeles';213/664-7723;caribbean;;;
191;'cha cha cha\'s';'1805 haight st.';'san francisco';415-386-5758;caribbean;;;
662;'chan dara';'310 n. larchmont blvd.';'los angeles';213/467-1052;asian;;;
564;chanterelle;'2 harrison st.  near hudson st.';'new york';212/966-6960;american;;;
249;chanterelle;'2 harrison st.';'new york city';212-966-6960;'french (new)';;;
1000;chevys;'4th and howard sts.';'san francisco';415/543-8060;'mexican/latin american/spanish';;;
753;'chez jacqueline';'72 macdougal st.  between w. houston and bleecker sts.';'new york';212/505-0727;french;;;
15;'chez melange';'1716 pch';'redondo beach';310-540-1222;eclectic;;;
633;'chez michel';'804 northpoint';'san francisco';415/775-7036;french;;;
318;'chez michel';'804 north point st.';'san francisco';415-775-7036;californian;;;
754;chiam;'160 e. 48th st.';'new york';212/371-2323;asian;;;
601;'chin\'s';'3200 las vegas blvd. s';'las vegas';702/733-8899;asian;;;
286;'chin\'s';'3200 las vegas blvd. s.';'las vegas';702-733-8899;chinese;;;
755;'china grill';'60 w. 53rd st.';'new york';212/333-7788;american;;;
539;'chinois on main';'2709 main st.';'santa monica';310/392-9025;french;;;
224;'chinois on main';'2709 main st.';'santa monica';310-392-9025;'pacific new wave';;;
154;chops;'70 w. paces ferry rd.';atlanta;404-262-2675;steakhouses;;;
155;chopstix;'4279 roswell rd.';atlanta;404-255-4868;chinese;;;
613;ciboulette;'1529 piedmont ave.';atlanta;404/874-7600;french;;;
298;'ciboulette restaurant';'1529 piedmont ave.';atlanta;404-874-7600;'french (new)';;;
971;'circus circus';'2880 las vegas blvd. s';'las vegas';702/734-0410;buffets;;;
756;cite;'120 w. 51st st.';'new york';212/956-7100;french;;;
540;citrus;'6703 melrose ave.';'los angeles';213/857-0034;californian;;;
225;citrus;'6703 melrose ave.';'los angeles';213-857-0034;californian;;;
924;'city grill';'50 hurt plaza';atlanta;404/524-2489;international;;;
663;'clearwater cafe';'168 w. colorado blvd.';'los angeles';818/356-0959;'health food';;;
925;'coco loco';'40  buckhead crossing mall on the sidney marcus blvd.';atlanta;404/364-0212;caribbean;;;
757;'coco pazzo';'23 e. 74th st.';'new york';212/794-0205;italian;;;
926;'colonnade restaurant';'1879 cheshire bridge rd.';atlanta;404/874-5642;southern;;;
758;'columbus bakery';'53rd sts.';'new york';212/421-0334;'coffee bar';;;
73;'corner bistro';'331 w. fourth st.';'new york city';212-242-9502;hamburgers;;;
759;'corrado cafe';'1013 3rd ave.  between 60th and 61st sts.';'new york';212/753-5100;'coffee bar';;;
602;'coyote cafe';'3799 las vegas blvd. s';'las vegas';702/891-7349;southwestern;;;
287;'coyote cafe (las vegas)';'3799 las vegas blvd. s.';'las vegas';702-891-7349;southwestern;;;
734;ct;'111 e. 22nd st.  between park ave. s and lexington ave.';'new york';212/995-8500;french;;;
74;'cucina della fontana';'368 bleecker st.';'new york city';212-242-0636;italian;;;
75;'cucina di pesce';'87 e. fourth st.';'new york city';212-260-6800;seafood;;;
760;'cupcake cafe';'522 9th ave. at 39th st.';'new york';212/465-1530;'coffee bar';;;
1001;'cypress club';'500 jackson st.';'san francisco';415/296-8555;american;;;
761;'da nico';'164 mulberry st.  between grand and broome sts.';'new york';212/343-1212;italian;;;
565;daniel;'20 e. 76th st.';'new york';212/288-0033;french;;;
250;daniel;'20 e. 76th st.';'new york city';212-288-0033;'french (new)';;;
928;'dante\'s down the hatch';'underground underground mall  underground atlanta';atlanta;404/577-1800;continental;;;
927;'dante\'s down the hatch  buckhead';'3380 peachtree rd.';atlanta;404/266-1600;continental;;;
76;darbar;'44 w. 56th st.';'new york city';212-432-7227;indian;;;
566;dawat;'210 e. 58th st.';'new york';212/355-7555;asian;;;
251;dawat;'210 e. 58th st.';'new york city';212-355-7555;indian;;;
156;'deacon burton\'s soulfood restaurant';'1029 edgewood ave. se';atlanta;404-523-1929;southern/soul;;;
762;'dean & deluca';'121 prince st.';'new york';212/254-8776;'coffee bar';;;
614;delectables;'1 margaret mitchell sq.';atlanta;404/681-2909;american;;;
299;delectables;'1 margaret mitchell sq.';atlanta;404-681-2909;cafeterias;;;
1002;'des alpes';'732 broadway';'san francisco';415/788-9900;french;;;
16;diaghilev;'1020 n. san vicente blvd.';'w. hollywood';310-854-1111;russian;;;
664;'dining room';'9500 wilshire blvd.';'los angeles';310/275-5200;californian;;;
624;'dining room  ritz-carlton  buckhead';'3434 peachtree rd.';atlanta;404/237-2700;international;;;
763;diva;'341 w. broadway  near grand st.';'new york';212/941-9024;italian;;;
665;dive!;'10250 santa monica blvd.';'los angeles';310/788-;'dive american';;;
764;'dix et sept';'181 w. 10th st.';'new york';212/645-8023;french;;;
765;docks;'633 3rd ave. at 40th st.';'new york';'212/ 986-8080';seafood;;;
192;'doidge\'s';'2217 union st.';'san francisco';415-921-2149;american;;;
17;'don antonio\'s';'1136 westwood blvd.';westwood;310-209-1422;italian;;;
193;'dottie\'s true blue cafe';'522 jones st.';'san francisco';415-885-2767;diners;;;
666;drago;'2628 wilshire blvd.';'santa monica';310/828-1585;italian;;;
667;'drai\'s';'730 n. la cienega blvd.';'los angeles';310/358-8585;french;;;
766;'duane park cafe';'157 duane st.  between w. broadway and hudson st.';'new york';212/732-5555;american;;;
18;'duke\'s';'8909 sunset blvd.';'w. hollywood';310-652-3100;'coffee shops';;;
194;'dusit thai';'3221 mission st.';'san francisco';415-826-4639;thai;;;
668;'dynasty room';'930 hilgard ave.';'los angeles';310/208-8765;continental;;;
157;eats;'600 ponce de leon ave.';atlanta;404-888-9149;italian;;;
195;ebisu;'1283 ninth ave.';'san francisco';415-566-1770;japanese;;;
669;eclipse;'8800 melrose ave.';'los angeles';310/724-5959;californian;;;
670;'ed debevic\'s';'134 n. la cienega';'los angeles';310/659-1952;american;;;
78;'edison cafe';'228 w. 47th st.';'new york city';212-840-5000;diners;;;
77;'ej\'s luncheonette';'432 sixth ave.';'new york city';212-473-5555;diners;;;
671;'el cholo';'1121 s. western ave.';'los angeles';213/734-2773;mexican;;;
767;'el teddy\'s';'219 w. broadway  between franklin and white sts.';'new york';212/941-7070;mexican;;;
79;'elias corner';'24-02 31st st.';queens;718-932-1510;greek;;;
196;'emerald garden restaurant';'1550 california st.';'san francisco';415-673-1155;vietnamese;;;
126;'emeril\'s new orleans fish house';'3799 las vegas blvd. s.';'las vegas';702-891-7374;seafood;;;
768;'emily\'s';'1325 5th ave. at 111th st.';'new york';212/996-1212;american;;;
769;'empire korea';'6 e. 32nd st.';'new york';212/725-1333;asian;;;
972;'empress court';'3570 las vegas blvd. s';'las vegas';702/731-7888;asian;;;
197;'eric\'s chinese restaurant';'1500 church st.';'san francisco';415-282-0919;chinese;;;
770;'ernie\'s';'2150 broadway  between 75th and 76th sts.';'new york';212/496-1588;american;;;
771;'evergreen cafe';'1288 1st ave. at 69th st.';'new york';212/744-3266;asian;;;
772;'f. ille ponte ristorante';'39 desbrosses st.  near west st.';'new york';212/226-4621;italian;;;
19;'falafel king';'1059 broxton ave.';westwood;310-208-4444;'middle eastern';;;
929;'fat matt\'s rib shack';'1811 piedmont ave.  near cheshire bridge rd.';atlanta;404/607-1622;barbecue;;;
1003;faz;'161 sutter st.';'san francisco';415/362-0404;'greek and middle eastern';;;
973;feast;'2411 w. sahara ave.';'las vegas';702/367-2411;buffets;;;
20;'feast from the east';'1949 westwood blvd.';'west la';310-475-0400;chinese;;;
567;felidia;'243 e. 58th st.';'new york';212/758-1479;italian;;;
252;felidia;'243 e. 58th st.';'new york city';212-758-1479;italian;;;
773;felix;'340 w. broadway at grand st.';'new york';212/431-0021;french;;;
541;fenix;'8358 sunset blvd. west';hollywood;213/848-6677;american;;;
226;'fenix at the argyle';'8358 sunset blvd.';'w. hollywood';213-848-6677;'french (new)';;;
774;ferrier;'29 e. 65th st.';'new york';212/772-9000;french;;;
775;'fifty seven fifty seven';'57 e. 57th st.';'new york';212/758-5757;american;;;
776;'film center cafe';'635 9th ave.  between 44th and 45th sts.';'new york';'212/ 262-2525';american;;;
127;'fiore rotisserie & grille';'3700 w. flamingo rd.';'las vegas';702-252-7702;italian;;;
777;'fiorello\'s roman cafe';'1900 broadway  between 63rd and 64th sts.';'new york';212/595-5330;italian;;;
778;firehouse;'522 columbus ave.  between 85th and 86th sts.';'new york';212/595-3139;american;;;
779;first;'87 1st ave.  between 5th and 6th sts.';'new york';212/674-3823;american;;;
780;'fishin eddie';'73 w. 71st st.';'new york';212/874-3474;seafood;;;
781;'fleur de jour';'348 e. 62nd st.';'new york';212/355-2020;'coffee bar';;;
634;'fleur de lys';'777 sutter st.';'san francisco';415/673-7779;french;;;
319;'fleur de lys';'777 sutter st.';'san francisco';415-673-7779;'french (new)';;;
782;flowers;'21 west 17th st.  between 5th and 6th aves.';'new york';212/691-8888;american;;;
158;'flying biscuit  the';'1655 mclendon ave.';atlanta;404-687-8888;eclectic;;;
1004;'fog city diner';'1300 battery st.';'san francisco';415/982-2000;american;;;
783;follonico;'6 w. 24th st.';'new york';212/691-6359;italian;;;
253;'four seasons';'99 e. 52nd st.';'new york city';212-754-9494;'american (new)';;;
568;'four seasons grill room';'99 e. 52nd st.';'new york';212/754-9494;american;;;
784;'fraunces tavern';'54 pearl st. at broad st.';'new york';212/269-0144;american;;;
930;'french quarter food shop';'923 peachtree st.  at 8th st.';atlanta;404/875-2489;southern;;;
785;'french roast';'458 6th ave. at 11th st.';'new york';212/533-2233;french;;;
786;'french roast cafe';'2340 broadway at 85th st.';'new york';212/799-1533;'coffee bar';;;
787;'frico bar';'402 w. 43rd st.  off 9th ave.';'new york';212/564-7272;italian;;;
159;frijoleros;'1031 peachtree st. ne';atlanta;404-892-8226;tex-mex;;;
635;fringale;'570 4th st.';'san francisco';415/543-0573;french;;;
320;fringale;'570 fourth st.';'san francisco';415-543-0573;'french bistro';;;
788;'fujiyama mama';'467 columbus ave.  between 82nd and 83rd sts.';'new york';212/769-1144;asian;;;
789;'gabriela\'s';'685 amsterdam ave. at 93rd st.';'new york';212/961-0574;mexican;;;
790;'gallagher\'s';'228 w. 52nd st.';'new york';212/245-5336;american;;;
1005;'garden court';'market and new montgomery sts.';'san francisco';415/546-5011;'old san francisco';;;
1006;'gaylord\'s';'ghirardelli sq.';'san francisco';415/771-8822;asian;;;
615;'georgia grille';'2290 peachtree rd.  peachtree square shopping center';atlanta;404/352-3517;american;;;
300;'georgia grille';'2290 peachtree rd.';atlanta;404-352-3517;southwestern;;;
791;'gianni\'s';'15 fulton st.';'new york';212/608-7300;seafood;;;
672;'gilliland\'s';'2424 main st.';'santa monica';310/392-3901;american;;;
792;girafe;'208 e. 58th st.  between 2nd and 3rd aves.';'new york';212/752-3054;italian;;;
673;'gladstone\'s';'4 fish 17300 pacific coast hwy. at sunset blvd.';'pacific palisades';310/454-3474;american;;;
793;global;'33 93 2nd ave.  between 5th and 6th sts.';'new york';212/477-8427;american;;;
974;'golden nugget hotel';'129 e. fremont st.';'las vegas';702/385-7111;buffets;;;
975;'golden steer';'308 w. sahara ave.';'las vegas';702/384-4470;'steak houses';;;
794;'golden unicorn';'18 e. broadway at catherine st.';'new york';'212/ 941-0911';asian;;;
80;'good enough to eat';'483 amsterdam ave.';'new york city';212-496-0163;american;;;
569;'gotham bar & grill';'12 e. 12th st.';'new york';212/620-4020;american;;;
254;'gotham bar & grill';'12 e. 12th st.';'new york city';212-620-4020;'american (new)';;;
570;'gramercy tavern';'42 e. 20th st.  between park ave. s and broadway';'new york';212/477-0777;american;;;
255;'gramercy tavern';'42 e. 20th st.';'new york city';212-477-0777;'american (new)';;;
1007;'grand cafe hotel monaco';'501 geary st.';'san francisco';415/292-0101;american;;;
795;'grand ticino';'228 thompson st.  between w. 3rd and bleecker sts.';'new york';212/777-5922;italian;;;
542;granita;'23725 w. malibu rd.';malibu;310/456-0488;californian;;;
227;granita;'23725 w. malibu rd.';malibu;310-456-0488;californian;;;
81;'gray\'s papaya';'2090 broadway';'new york city';212-799-0243;'hot dogs';;;
1008;greens;'bldg. a fort mason';'san francisco';415/771-6222;vegetarian;;;
160;'greenwood\'s';'1087 green st.';roswell;770-992-5383;southern/soul;;;
228;'grill  the';'9560 dayton way';'beverly hills';310-276-0615;'american (traditional)';;;
543;'grill on the alley';'9560 dayton way';'los angeles';310/276-0615;american;;;
21;'gumbo pot  the';'6333 w. third st.';la;213-933-0358;cajun/creole;;;
796;halcyon;'151 w. 54th st.  in the rihga royal hotel';'new york';212/468-8888;american;;;
198;'hamburger mary\'s';'1582 folsom st.';'san francisco';415-626-1985;hamburgers;;;
1009;'harbor village';'4 embarcadero center';'san francisco';415/781-8833;asian;;;
674;'hard rock cafe';'8600 beverly blvd.';'los angeles';310/276-7605;american;;;
