a,b,c,d,e,f,g,h
18,34,52,0,6,18,13,8
5,21,26,0,32,19,6,12
8,28,36,0,22,4,0,8
13,19,32,0,26,3,12,11
2,17,19,1,39,14,1,1
11,25,36,0,22,6,12,3
10,32,42,0,16,3,15,18
15,13,28,0,30,0,5,9
19,32,51,1,7,8,4,3
13,9,22,0,36,7,4,7
8,16,24,0,34,11,4,6
8,36,44,0,14,4,2,5
8,38,46,0,12,14,4,5
16,36,52,0,6,13,13,14
6,12,18,0,40,9,6,2
3,33,36,0,22,3,15,6
6,37,43,1,15,10,16,9
0,39,39,1,19,13,15,10
2,0,2,0,56,7,10,17
1,29,30,0,28,5,6,18
15,39,54,0,4,10,18,5
14,30,44,0,14,7,4,10
13,9,22,0,36,8,9,0
9,30,39,1,19,6,9,12
14,4,18,0,40,6,14,3
3,19,22,1,36,14,10,1
18,25,43,1,15,9,15,13
10,18,28,0,30,9,18,3
18,27,45,1,13,13,7,9
3,9,12,0,46,7,17,2
9,24,33,1,25,2,3,14
13,25,38,0,20,17,18,15
9,25,34,0,24,1,3,11
8,11,19,1,39,11,17,16
3,12,15,1,43,5,7,8
7,10,17,1,41,4,19,3
4,18,22,0,36,0,2,3
6,23,29,1,29,18,9,4
13,14,27,1,31,8,18,4
12,16,28,0,30,6,0,6
12,11,23,1,35,14,5,4
7,8,15,1,43,0,1,11
19,26,45,1,13,11,6,2
1,32,33,1,25,9,7,12
6,11,17,1,41,11,12,6
2,34,36,0,22,2,5,13
6,22,28,0,30,19,3,10
19,6,25,1,33,4,3,18
7,14,21,1,37,13,18,8
18,0,18,0,40,14,19,5
9,1,10,0,48,6,4,11
13,13,26,0,32,2,3,13
9,18,27,1,31,5,1,8
5,31,36,0,22,16,19,11
15,5,20,0,38,18,14,9
19,33,52,0,6,18,15,6
5,9,14,0,44,4,5,6
15,5,20,0,38,12,12,18
5,27,32,0,26,3,1,13
14,30,44,0,14,14,13,1
15,24,39,1,19,8,11,19
8,4,12,0,46,14,6,14
14,4,18,0,40,13,14,1
5,15,20,0,38,19,12,14
1,18,19,1,39,9,8,11
1,39,40,0,18,6,3,18
8,11,19,1,39,10,0,9
18,7,25,1,33,3,18,10
2,37,33,1,19,2,5,6
9,6,15,1,43,10,6,6
14,1,15,1,43,16,13,12
4,16,20,0,38,10,5,16
14,16,30,0,28,15,7,17
6,24,30,0,28,3,14,15
16,35,51,1,7,8,11,12
11,37,48,0,10,12,13,10
10,11,21,1,37,6,0,6
3,39,42,0,16,0,9,15
9,25,34,0,24,1,9,6
17,2,19,1,39,18,12,5
0,37,37,1,21,12,3,17
15,5,20,0,38,5,3,11
9,23,32,0,26,5,15,7
14,31,45,1,13,0,13,17
13,9,22,0,36,18,16,19
8,10,18,0,40,2,5,6
6,19,25,1,33,15,19,10
12,35,47,1,11,4,5,9
2,8,10,0,48,6,13,14
11,26,37,1,21,5,3,19
1,18,19,1,39,16,18,10
12,4,16,0,42,0,6,15
12,28,40,0,18,7,16,11
1,33,34,0,24,5,6,17
15,23,38,0,20,5,15,8
8,7,15,1,43,3,9,7
15,6,21,1,37,18,1,8
0,16,16,0,42,7,3,19
3,20,23,1,35,8,13,12
9,22,31,1,27,7,3,3
3,9,12,0,46,19,5,0
6,20,26,0,32,6,10,10
13,11,24,0,34,6,5,16
2,27,29,1,29,6,2,9
13,31,44,0,14,6,12,11
2,26,28,0,30,1,13,15
3,0,3,1,55,12,14,10
11,39,50,0,8,0,18,18
15,0,15,1,43,4,2,12
3,39,42,0,16,4,8,14
5,1,6,0,52,5,4,15
18,20,38,0,20,15,18,12
19,4,23,1,35,11,10,1
11,3,14,0,44,19,1,8
8,27,17,1,23,7,13,2
6,29,35,1,23,18,0,10
12,4,16,0,42,0,5,2
11,39,50,0,8,10,14,10
5,12,17,1,41,15,10,6
0,12,12,0,46,10,15,0
3,11,14,0,44,18,11,2
19,18,37,1,21,6,16,10
8,7,15,1,43,0,11,1
9,16,25,1,33,15,1,17
9,8,17,1,41,1,1,15
15,2,17,1,41,15,15,14
1,14,15,1,43,14,0,3
1,26,27,1,31,16,7,15
5,30,35,1,23,9,0,12
9,14,23,1,35,17,6,7
13,12,25,1,33,3,11,0
9,31,40,0,18,8,3,10
8,27,35,1,23,2,9,15
18,33,51,1,7,15,19,0
3,36,39,1,19,14,1,1
11,32,43,1,15,16,1,7
10,37,47,1,11,15,5,10
9,16,25,1,33,6,16,9
16,15,31,1,27,1,8,8
5,12,17,1,41,18,12,5
19,9,28,0,30,9,0,1
6,29,35,1,23,1,14,0
10,28,38,0,20,18,1,1
10,32,42,0,16,19,14,13
16,6,22,0,36,8,2,15
8,19,27,1,31,15,17,8
5,8,13,1,45,0,5,1
0,35,35,1,23,1,3,8
7,10,17,1,41,5,6,19
16,5,21,1,37,13,0,4
0,22,22,0,36,2,3,9
17,35,52,0,6,0,11,10
10,36,46,0,12,13,6,6
2,3,5,1,53,15,7,8
6,13,19,1,39,14,16,9
11,6,17,1,41,15,2,9
6,12,18,0,40,16,7,14
2,21,23,1,35,12,3,11
13,11,24,0,34,10,9,1
13,2,15,1,43,17,6,0
2,20,22,0,36,6,0,8
5,2,7,1,51,1,1,18
4,9,13,1,45,15,17,0
13,0,13,1,45,5,1,1
14,3,17,1,41,19,15,13
14,17,31,1,27,8,18,9
18,34,52,0,6,17,9,4
15,30,45,1,13,0,6,4
6,3,9,1,49,13,15,13
2,1,3,1,55,8,19,10
12,13,25,1,33,9,2,12
18,26,44,0,14,5,19,5
19,29,48,0,10,19,18,10
4,32,36,0,22,7,2,17
4,13,17,1,41,17,1,6
0,6,6,0,52,8,14,7
2,1,3,1,55,0,1,3
11,5,16,0,42,17,12,12
10,2,12,0,46,3,1,0
7,34,41,1,17,5,13,4
6,10,16,0,42,17,4,14
16,32,48,0,10,17,1,0
9,22,31,1,27,18,1,19
16,21,37,1,21,8,3,8
19,18,37,1,21,15,10,7
6,32,38,0,20,6,1,10
4,1,5,1,53,14,16,12
19,3,22,0,36,10,12,9
12,16,28,0,30,1,5,17
5,15,20,0,38,8,19,19
12,21,33,1,25,9,13,4
10,29,39,1,19,5,13,14
18,23,41,1,17,7,3,6
5,10,15,1,43,10,14,19
19,13,32,0,26,0,11,5
18,30,48,0,10,3,19,5
3,8,11,1,47,15,9,14
3,20,23,1,35,7,13,15
10,21,31,1,27,12,6,2
0,30,30,0,28,11,0,11
5,28,33,1,25,11,2,6
8,18,26,0,32,8,17,12
19,12,31,1,27,9,14,11
19,14,33,1,25,16,7,19
3,16,19,1,39,19,13,18
17,8,25,1,33,5,0,13
1,25,26,0,32,13,0,13
14,8,22,0,36,19,10,17
16,25,41,1,17,0,12,3
17,30,47,1,11,15,18,14
4,38,42,0,16,9,15,15
17,4,21,1,37,19,5,2
2,30,32,0,26,11,16,17
10,3,13,1,45,16,9,13
9,13,22,0,36,3,16,6
6,7,49,1,45,2,3,9
0,6,6,0,52,18,0,9
15,7,22,0,36,10,1,18
6,1,7,1,51,11,19,19
13,32,45,1,13,3,1,16
8,2,10,0,48,4,18,13
7,15,22,0,36,16,14,2
17,27,44,0,14,6,2,18
1,39,40,1,18,11,17,2
14,34,48,0,10,6,2,3
14,5,19,1,39,5,2,1
7,39,46,0,12,3,11,18
5,26,31,1,27,18,5,9
0,7,7,1,51,18,5,4
18,17,35,1,23,2,3,1
18,36,54,0,4,7,12,8
4,15,19,1,39,11,0,14
0,7,7,1,51,7,4,19
2,35,37,1,21,14,11,11
1,38,39,1,19,5,9,12
16,39,55,1,3,1,13,16
17,38,55,1,3,6,4,18
3,34,37,1,21,11,12,5
14,18,32,0,26,3,15,19
3,7,10,0,48,16,7,10
7,24,31,1,27,0,5,18
11,8,19,1,39,1,11,2
14,18,32,0,26,10,11,1
17,26,43,1,15,10,1,17
0,37,37,1,21,5,11,13
3,11,14,0,44,5,3,3
5,10,15,1,43,1,11,17
6,29,35,1,23,13,18,2
19,0,19,1,39,7,10,13
15,22,37,1,21,2,15,4
6,29,35,1,23,7,6,1
19,22,41,1,17,18,18,16
9,15,24,0,34,5,16,16
10,33,43,1,15,17,18,2
8,14,22,0,36,5,14,1
2,28,30,0,28,3,12,12
18,18,36,0,22,5,10,0
0,1,1,1,57,6,18,14
3,21,24,0,34,2,16,18
4,1,5,1,53,11,8,15
5,37,42,0,16,6,1,4
2,24,26,0,32,14,0,3
0,14,14,0,44,9,4,13
13,19,32,0,26,8,1,1
19,24,43,1,15,9,4,10
2,10,12,0,46,3,2,8
5,11,16,0,42,14,19,14
10,16,26,0,32,2,1,4
18,10,28,0,30,14,12,15
13,30,43,1,15,19,7,13
15,4,19,1,39,15,3,4
11,33,44,0,14,9,14,7
8,13,21,1,37,6,19,1
3,22,25,1,33,17,15,8
17,6,23,1,35,5,19,5
16,15,31,1,27,9,11,2
0,30,30,0,28,15,13,11
14,10,24,0,34,18,2,11
1,5,6,0,52,18,17,1
14,20,34,0,24,1,14,3
16,6,22,0,36,17,5,1
2,12,14,0,44,2,7,13
8,18,26,0,32,11,12,6
2,22,24,0,34,18,0,1
11,25,36,0,22,13,16,3
18,27,45,1,13,18,5,19
1,33,2,0,24,6,1,5
7,2,9,1,49,6,6,13
19,14,33,1,25,6,16,9
6,0,6,0,52,7,5,3
2,0,2,0,56,13,10,6
9,8,17,1,41,9,16,0
10,23,33,1,25,14,0,14
13,35,48,0,10,8,15,6
6,30,36,0,22,6,5,9
19,25,44,0,14,3,13,3
10,31,41,1,17,11,3,16
5,6,11,1,47,17,2,4
19,33,52,0,6,17,15,11
18,35,53,1,5,5,16,17
9,3,12,0,46,9,19,14
0,18,18,0,40,14,13,12
11,33,44,0,14,12,9,17
11,19,30,0,28,1,3,3
2,33,35,1,23,11,5,19
12,37,49,1,9,0,12,11
16,18,34,0,24,2,6,8
2,2,4,0,54,13,9,5
14,13,27,1,31,2,3,14
2,8,10,0,48,6,8,19
14,18,32,0,26,11,4,13
8,23,31,1,27,13,2,0
0,18,18,0,40,8,2,9
19,7,26,0,32,1,10,14
3,12,15,1,43,15,7,7
11,27,38,0,20,18,1,15
3,1,4,0,54,17,10,14
18,8,26,0,32,14,3,1
14,35,49,1,9,8,0,11
16,3,19,1,39,17,2,3
8,16,24,0,34,9,8,9
9,8,17,1,41,2,19,7
12,4,16,0,42,17,4,16
15,16,31,1,27,6,5,17
16,20,36,0,22,18,4,9
0,7,7,1,51,7,7,10
13,3,16,0,42,17,14,12
2,5,7,1,51,10,6,13
5,26,31,1,27,9,13,12
16,34,50,0,8,5,17,15
5,7,12,0,46,16,18,19
15,12,27,1,31,1,11,16
9,13,22,0,36,9,14,2
4,14,18,0,40,7,18,9
6,9,15,1,43,10,15,9
10,2,12,0,46,5,5,10
15,21,36,1,22,13,2,10
12,14,26,0,32,7,2,14
18,13,31,1,27,3,17,8
17,10,27,1,31,3,11,5
15,37,52,0,6,13,5,9
12,24,36,0,22,5,6,17
5,16,21,1,37,6,5,6
8,8,16,0,42,12,16,0
2,32,34,0,24,6,12,19
7,35,42,0,16,7,17,3
18,1,19,1,39,4,6,12
8,37,45,1,13,6,9,16
2,27,29,1,29,13,2,5
13,3,16,0,42,10,19,6
19,30,49,1,9,19,10,5
17,4,21,1,37,15,11,2
5,2,7,1,51,0,8,3
9,4,13,1,45,7,5,3
10,18,28,0,30,5,18,9
4,24,28,0,30,11,9,10
5,16,21,1,37,5,13,0
4,4,8,0,50,19,0,16
19,7,26,0,32,5,5,13
14,34,48,0,10,10,16,1
16,38,54,1,4,2,1,16
16,30,46,0,12,18,2,0
19,4,23,1,35,18,16,11
2,32,34,0,24,15,6,9
17,27,44,0,14,7,5,10
1,21,22,0,36,1,11,19
9,5,14,0,44,14,3,18
11,39,50,0,8,8,0,5
7,17,24,0,34,19,0,11
2,1,3,1,55,13,1,19
3,8,11,1,47,10,3,14
16,16,32,0,26,19,13,17
6,2,8,0,50,16,5,8
6,12,18,0,40,9,1,5
18,18,36,0,22,0,0,10
2,37,39,1,19,1,9,16
18,3,21,1,37,8,16,18
18,23,41,1,17,11,6,13
11,36,47,1,11,0,1,14
3,32,35,1,23,2,4,10
3,36,39,1,19,14,9,6
5,6,11,1,47,15,3,8
11,32,43,1,15,0,19,9
3,39,42,0,16,10,15,16
9,13,22,0,36,1,6,11
2,19,21,1,37,14,19,15
10,21,31,1,27,16,6,0
0,19,19,1,39,17,2,15
14,11,25,1,33,11,18,10
1,38,39,1,19,12,19,19
3,38,41,1,17,18,6,9
3,15,18,0,40,12,11,9
16,32,48,0,10,8,3,2
1,15,16,0,42,15,12,16
8,31,39,1,19,11,13,14
11,23,34,0,24,16,14,17
10,18,28,0,30,10,11,1
13,5,18,0,40,17,14,4
16,26,42,0,16,0,11,17
7,12,19,1,39,0,16,0
16,8,24,0,34,1,3,10
6,7,13,1,45,11,9,8
19,39,58,0,0,14,8,18
10,4,14,0,44,4,10,17
14,31,45,1,13,3,2,17
17,34,51,1,7,17,6,5
15,1,16,0,42,15,19,11
17,23,40,0,18,12,2,14
10,23,33,1,25,9,12,19
0,14,14,0,44,8,13,0
9,26,35,1,23,0,9,19
3,16,19,1,39,3,0,7
17,17,34,0,24,17,0,2
4,17,21,1,37,6,5,12
4,32,36,0,22,14,2,15
4,25,29,1,29,14,1,2
12,15,27,1,31,6,3,0
11,37,48,0,10,4,3,17
18,32,50,0,8,13,16,18
8,37,45,1,13,1,12,3
5,29,34,0,24,9,0,18
0,15,15,1,43,17,12,18
0,30,30,0,28,14,2,19
7,13,20,0,38,15,8,4
18,10,28,0,30,1,0,11
10,18,28,0,30,3,1,19
17,38,55,1,3,5,2,18
2,22,24,0,34,5,8,12
1,15,16,0,42,3,9,3
16,18,34,0,24,19,7,1
2,11,13,1,45,3,12,5
1,26,27,1,31,14,14,1
8,14,22,0,36,11,14,3
18,22,40,0,18,12,11,1
13,14,27,1,31,4,10,15
1,12,13,1,45,6,9,11
16,38,54,0,4,12,4,10
16,13,29,1,29,5,9,16
16,2,18,0,40,13,0,8
18,15,33,1,25,0,19,8
4,21,25,1,33,1,7,4
19,3,22,0,36,14,15,8
6,12,18,0,40,12,19,3
16,6,22,0,36,0,9,11
11,20,31,1,27,17,17,19
15,28,43,1,15,0,9,10
12,38,50,0,8,19,2,5
12,15,27,1,31,14,0,13
12,34,46,0,12,19,2,16
15,8,40,1,35,18,18,9
14,31,45,1,13,6,9,5
2,22,24,0,34,15,6,14
16,30,40,0,12,4,8,3
10,30,40,0,18,9,5,19
6,21,27,1,31,4,17,6
10,10,20,0,38,9,19,7
19,21,40,0,18,17,1,14
17,33,50,0,8,8,14,0
16,38,54,0,4,1,6,4
9,37,46,0,12,6,0,2
15,7,22,0,36,15,18,7
7,23,30,0,28,10,1,11
13,4,17,1,41,11,4,3
12,26,38,0,20,8,0,6
4,39,43,1,15,5,9,15
5,2,7,1,51,11,11,18
1,26,27,1,31,12,6,0
2,37,39,1,19,17,1,12
8,33,41,1,17,12,2,0
9,15,24,0,34,19,18,10
3,4,7,1,51,16,16,17
8,36,44,0,14,1,18,15
12,36,48,0,10,7,10,4
4,23,27,1,31,7,10,5
6,39,45,1,13,0,15,15
7,0,7,1,51,3,12,16
10,24,34,0,24,15,8,5
7,1,8,0,50,7,5,0
14,37,51,1,7,2,9,8
6,27,33,1,25,5,1,12
8,36,44,0,14,5,3,8
7,22,29,1,29,3,14,18
3,3,6,0,52,2,17,16
13,1,14,0,44,15,2,15
4,13,17,1,41,16,1,0
5,29,34,0,24,9,1,17
15,6,3,1,37,12,15,15
18,34,52,0,6,18,6,7
13,9,22,0,36,16,6,11
18,19,37,1,21,0,0,16
17,8,25,1,33,19,19,18
9,18,27,1,31,1,8,11
15,18,33,1,25,0,15,0
6,0,6,0,52,8,14,12
9,22,31,1,27,14,2,13
10,31,41,1,17,1,16,1
19,37,56,0,2,5,11,16
16,13,29,1,29,5,12,4
9,35,44,0,14,7,4,17
13,35,48,0,10,19,16,11
4,39,43,1,15,6,18,6
16,14,30,0,28,4,8,1
11,34,45,0,13,2,1,0
10,22,32,0,26,3,16,14
15,2,17,1,41,2,17,7
12,10,22,0,36,11,10,16
1,26,27,0,31,8,11,4
5,6,11,1,47,9,4,18
3,17,20,0,38,16,1,18
14,30,44,0,14,11,18,2
0,5,5,1,53,3,9,12
4,19,23,1,35,7,5,18
11,8,19,1,39,6,13,6
13,21,34,0,24,16,0,1
10,9,19,1,39,6,1,17
17,38,55,1,3,2,4,9
18,3,21,1,37,14,9,0
2,38,40,0,18,8,7,16
19,31,50,0,8,1,3,13
12,34,46,0,12,13,7,1
12,34,46,0,12,4,6,5
1,7,8,0,50,17,10,0
12,37,49,1,9,16,11,19
14,23,37,1,21,7,17,0
11,38,49,1,9,11,16,15
1,35,36,0,22,11,5,10
10,23,33,1,25,13,18,11
18,14,32,0,26,1,10,16
14,4,18,0,40,6,3,17
2,4,6,0,52,3,6,2
19,15,34,0,24,13,14,0
19,32,51,1,7,1,16,2
3,20,23,1,35,10,7,13
16,19,35,1,23,14,3,11
8,9,17,1,41,18,3,1
11,22,33,1,25,5,2,4
8,25,33,1,25,0,13,10
15,39,54,1,4,14,10,14
19,29,48,0,10,0,9,6
15,24,39,1,19,1,13,18
18,36,54,0,4,19,16,19
18,16,34,0,24,17,15,15
1,37,38,0,20,14,2,9
5,14,19,1,39,16,11,17
14,5,19,1,39,1,17,14
11,16,27,1,31,1,15,10
1,5,6,0,52,6,6,8
1,4,5,1,53,0,7,16
10,35,45,1,13,17,17,11
12,31,43,1,15,1,0,3
3,8,11,1,47,10,10,19
3,33,36,0,22,17,2,1
2,2,4,0,54,14,17,13
11,11,22,0,36,4,0,13
0,28,28,0,30,9,0,11
11,12,23,1,35,10,6,1
9,29,38,0,20,15,4,9
9,34,43,1,15,8,9,17
13,2,15,1,43,5,5,4
10,0,10,0,48,15,7,13
14,37,51,1,7,17,11,17
15,20,35,1,23,9,11,19
18,20,7,0,20,0,18,10
15,18,33,1,25,10,9,6
10,17,27,1,31,17,11,13
9,27,36,0,22,19,13,9
4,23,27,1,31,8,3,12
11,6,17,1,41,3,13,14
2,25,27,1,31,11,17,14
18,26,44,0,14,16,6,4
16,4,20,0,38,18,3,15
2,15,17,1,41,1,6,10
15,31,46,0,12,5,5,18
2,24,26,0,32,9,11,13
14,5,19,1,39,1,17,17
1,1,2,0,56,17,11,19
9,23,32,0,26,2,2,19
13,18,31,1,27,13,6,14
14,38,52,0,6,18,13,11
8,20,28,0,30,13,6,2
18,37,55,1,3,15,11,7
15,8,23,1,35,5,13,9
4,17,21,1,37,16,6,15
13,5,18,0,40,8,12,11
14,22,36,0,22,1,7,8
6,7,13,1,45,7,2,2
14,19,33,1,25,6,7,14
17,13,30,0,28,10,8,8
16,7,23,1,35,5,0,0
15,3,18,0,40,9,17,5
12,20,32,0,26,8,10,17
5,37,42,0,16,6,0,2
15,7,22,0,36,13,17,8
7,16,23,1,35,6,17,10
10,8,18,0,40,15,0,1
6,32,38,0,20,5,3,3
6,16,22,0,36,17,7,18
3,38,41,1,17,7,10,11
19,9,28,0,30,0,14,4
2,3,5,1,53,2,8,3
1,23,24,0,34,16,12,8
18,26,44,0,14,17,0,14
11,39,50,0,8,4,13,14
8,34,42,0,16,12,18,3
14,35,49,1,9,11,10,14
7,25,32,0,26,2,9,17
2,14,16,0,42,9,5,4
14,17,31,1,27,13,19,0
3,5,8,0,50,19,0,19
11,17,8,0,30,16,5,10
18,14,32,0,26,1,2,15
18,1,19,1,39,4,17,6
7,8,15,1,43,8,9,5
15,21,36,0,22,3,18,4
12,14,26,0,32,11,13,4
9,39,48,0,10,0,11,9
2,19,21,1,37,2,10,2
7,38,45,1,13,0,4,16
13,26,39,1,19,5,11,10
19,1,20,0,38,15,13,18
0,8,8,0,50,3,19,10
14,28,42,0,16,19,10,6
16,21,37,1,21,5,18,10
19,12,31,1,27,0,18,3
8,20,28,0,30,6,10,16
2,36,38,0,20,14,8,14
5,15,20,0,38,2,2,2
17,1,18,0,40,1,5,11
17,12,29,1,29,16,17,10
12,37,49,1,9,11,2,4
2,30,32,0,26,6,7,2
2,33,35,1,23,15,13,15
9,36,45,1,13,16,4,5
11,4,15,1,43,7,19,10
0,11,11,1,47,11,12,4
13,2,15,1,43,0,0,13
10,0,10,0,48,6,4,0
0,33,33,1,25,11,14,7
1,37,38,0,20,3,17,10
9,6,15,1,43,19,18,8
14,28,42,0,16,19,17,12
16,21,37,1,21,5,1,3
8,2,10,0,48,7,14,8
5,36,41,1,17,3,2,15
19,34,53,1,5,10,1,6
9,22,31,1,27,2,13,3
6,28,34,0,24,7,9,16
8,15,23,1,35,11,12,15
0,31,31,1,27,12,17,13
6,17,23,1,35,11,1,15
10,39,26,1,9,4,10,15
18,2,20,0,38,15,16,14
14,6,20,0,38,13,8,10
15,38,53,1,5,15,10,0
10,11,21,1,37,9,9,11
2,12,14,0,44,17,18,5
7,31,38,0,20,7,0,15
19,7,26,0,32,16,17,9
0,20,20,0,38,4,16,18
17,11,28,0,30,4,16,11
13,7,20,0,38,10,8,11
5,38,43,1,15,11,10,18
15,7,22,0,36,14,7,9
16,3,19,1,39,5,5,7
0,26,26,0,32,17,17,7
2,34,36,0,22,6,10,17
13,5,18,0,40,10,14,15
19,28,47,1,11,18,2,3
0,21,21,1,37,10,15,9
13,33,46,0,12,13,13,7
2,5,7,1,51,18,19,12
13,39,52,0,6,19,2,1
12,24,36,0,22,9,10,14
1,33,34,0,24,8,10,14
13,14,27,1,31,3,10,4
17,37,54,0,4,10,1,3
17,25,42,0,16,18,9,12
0,5,5,1,53,9,5,5
4,36,40,0,18,6,12,18
4,31,35,1,23,2,4,15
9,12,21,1,37,7,8,19
2,21,23,1,35,4,12,10
17,15,32,0,26,19,1,18
15,21,36,0,22,10,15,0
16,38,54,0,4,2,14,5
3,35,38,0,20,1,1,0
0,8,8,0,50,17,1,13
18,38,56,0,2,18,17,10
5,17,22,0,36,15,5,5
13,28,41,1,17,2,17,6
18,30,48,0,10,1,9,12
0,19,19,1,39,3,6,3
0,18,18,0,40,15,5,10
0,18,18,0,40,15,13,12
3,34,37,1,21,16,2,4
1,15,16,0,42,1,8,4
16,11,27,1,31,3,6,7
12,14,26,0,32,18,3,11
19,7,26,0,32,18,7,5
16,15,31,1,27,14,10,7
19,4,23,1,35,2,13,10
4,3,7,1,51,1,1,3
5,28,33,1,25,1,17,11
16,3,19,1,39,13,17,2
4,22,26,0,32,16,13,2
1,31,32,0,26,12,18,4
13,28,41,1,17,5,8,5
16,17,33,1,25,15,16,0
19,7,26,0,32,1,14,19
18,37,55,1,3,16,11,6
2,33,35,1,23,17,3,16
15,24,17,0,19,14,11,18
16,3,19,1,39,17,18,16
13,1,14,0,44,11,19,16
16,12,28,0,30,9,8,2
16,6,22,0,36,6,4,7
8,34,42,0,16,18,14,14
0,8,8,0,50,13,1,11
9,11,20,0,38,3,3,0
4,39,43,1,15,19,11,11
2,32,34,0,24,1,19,16
