a,b,c,d,e,f,g,h
6,0,6,0,34,10,1,18
36,0,36,0,4,15,13,16
20,0,20,0,20,18,3,5
37,0,37,1,3,7,9,16
6,0,6,0,34,17,2,8
19,0,19,1,21,3,14,0
27,0,27,1,13,18,15,15
19,0,19,1,21,3,11,16
17,0,17,1,23,17,16,6
6,0,6,0,34,7,8,9
15,1,16,0,24,19,3,7
9,0,9,1,31,2,3,2
12,0,12,0,28,9,4,19
27,0,27,1,13,18,4,0
25,0,25,1,15,0,6,11
24,0,24,0,16,5,4,0
14,1,15,1,25,1,11,13
38,0,38,0,2,6,2,18
3,0,3,1,37,7,12,12
13,0,13,1,27,12,6,12
4,0,4,0,36,5,13,16
13,0,13,1,27,3,10,19
38,0,38,0,2,3,18,17
14,0,14,0,26,18,8,4
36,0,36,0,4,19,5,11
19,0,19,1,21,4,11,16
27,0,27,1,13,3,13,5
18,0,18,0,22,1,8,13
10,0,10,0,30,19,11,0
30,0,30,0,10,14,9,17
38,0,38,0,2,15,6,12
10,0,10,0,30,5,6,14
31,0,31,1,9,12,18,16
10,0,10,0,30,1,13,4
28,0,28,0,12,13,1,9
31,0,31,1,9,11,19,17
17,0,17,1,23,6,14,3
29,0,29,1,11,14,1,16
10,0,10,0,30,12,14,5
3,0,3,1,37,8,11,11
3,0,3,1,37,3,18,10
17,0,17,1,23,0,9,13
36,0,36,0,4,18,10,16
5,0,5,1,35,5,6,6
18,0,18,0,22,6,6,3
28,0,28,0,12,13,12,8
8,0,8,0,32,5,16,12
28,0,28,0,12,7,17,15
12,0,12,0,28,14,15,15
32,0,32,0,8,11,12,6
23,0,23,1,17,13,10,18
21,0,21,1,19,0,6,1
7,0,7,1,33,9,15,2
18,0,18,0,22,9,6,0
34,0,34,0,6,12,5,18
0,0,0,0,40,3,17,3
30,0,30,0,10,3,11,12
19,0,19,1,21,15,7,16
28,0,28,0,12,13,17,15
26,0,26,0,14,16,19,18
17,0,17,1,23,5,6,1
12,0,12,0,28,19,10,8
25,0,25,1,15,5,9,10
5,0,5,1,35,13,14,13
23,0,23,1,17,3,19,12
3,0,3,1,37,18,10,11
25,0,25,1,15,6,15,6
25,0,25,1,15,16,11,2
3,0,3,1,37,6,17,8
30,0,27,0,10,15,8,5
16,0,16,0,24,9,7,11
31,0,31,1,9,1,8,15
1,0,16,1,39,3,19,11
7,0,7,1,33,13,12,11
19,0,19,1,21,3,3,0
7,0,7,1,33,5,0,12
13,0,13,1,27,10,10,8
26,0,26,0,14,5,16,2
5,0,5,1,35,2,9,4
27,0,27,1,13,12,11,15
4,0,4,0,36,13,15,18
7,0,7,1,33,14,10,10
23,1,24,0,16,18,18,19
31,0,31,1,9,2,12,3
6,0,6,0,34,8,14,5
11,0,11,1,29,4,15,18
37,0,37,1,3,18,12,3
39,0,39,1,1,10,1,13
23,0,23,1,17,1,8,4
17,0,17,1,23,13,2,6
13,1,14,0,26,0,10,9
24,0,24,0,16,5,2,7
23,0,23,1,17,14,10,17
11,1,12,0,28,10,6,19
0,0,0,0,40,15,0,10
6,0,6,0,34,11,2,10
38,0,38,0,2,16,10,1
16,0,16,0,24,11,1,4
19,0,19,1,21,1,17,0
18,0,18,0,22,1,15,17
31,0,31,1,9,15,14,4
2,0,2,0,38,0,3,6
3,0,3,1,37,7,15,16
11,0,11,1,29,0,12,14
19,0,10,1,21,6,7,12
26,0,26,0,14,11,0,0
19,0,19,1,21,3,10,11
17,0,17,1,23,9,15,11
37,0,37,1,3,19,0,6
6,0,6,0,34,1,1,14
22,0,22,0,18,1,7,18
21,0,21,1,19,5,10,5
18,0,18,0,22,16,9,6
32,0,32,0,8,8,8,6
10,0,10,0,30,12,5,16
38,0,38,0,2,0,1,1
13,0,13,1,27,14,0,17
21,0,21,1,19,1,1,15
20,0,20,0,20,14,13,9
33,0,33,1,7,2,15,11
17,0,17,1,23,17,8,17
11,0,11,1,29,5,1,15
0,0,0,0,40,3,8,5
14,0,14,0,26,6,19,1
33,0,33,1,7,0,4,13
0,0,0,0,40,3,9,2
35,0,35,1,5,11,10,1
21,0,21,1,19,6,6,19
5,0,5,1,35,7,8,9
12,0,12,0,28,16,9,13
22,0,22,0,18,2,9,4
12,0,12,0,28,7,14,2
4,0,4,0,36,3,11,1
26,0,26,0,14,9,1,7
26,0,26,0,14,6,0,0
4,0,4,0,36,0,8,8
11,0,11,1,29,1,18,6
9,0,9,1,31,17,0,10
26,0,26,0,14,1,1,11
29,0,29,1,11,15,13,6
29,0,29,1,11,18,9,9
37,0,37,1,3,9,4,1
30,0,30,0,10,6,4,6
12,0,12,0,28,15,13,19
4,0,4,0,36,19,10,19
24,0,24,0,16,2,12,9
36,0,36,0,4,19,5,18
39,0,39,1,1,18,10,10
9,0,9,1,31,2,17,2
9,0,9,1,31,1,6,17
1,0,1,1,39,14,7,8
5,0,5,1,35,1,3,12
22,0,22,0,18,12,12,12
21,0,21,1,19,1,0,6
14,0,14,0,26,13,4,14
12,0,12,0,28,4,14,10
33,1,34,0,6,1,0,7
18,1,19,1,21,1,19,5
32,0,32,0,8,3,8,14
38,0,38,0,2,10,7,4
12,0,12,0,28,1,10,2
8,0,8,0,32,16,12,17
38,0,34,0,2,12,9,6
25,0,25,1,15,5,17,12
11,0,11,1,29,19,19,14
24,0,24,0,16,13,4,16
20,0,20,0,20,13,14,12
36,1,37,1,3,3,6,14
10,0,10,0,30,14,19,16
39,0,39,1,1,11,5,18
37,0,37,1,3,19,5,0
7,0,7,1,33,9,14,14
6,0,6,0,34,13,15,3
21,0,21,1,19,6,2,17
1,0,2,1,39,0,11,0
11,0,11,1,29,2,6,4
17,0,17,1,23,17,12,3
38,0,38,0,2,14,11,12
39,0,39,1,1,7,19,0
6,0,6,0,34,13,18,0
35,0,35,1,5,0,13,10
3,0,3,1,37,0,13,19
29,0,29,1,11,10,17,10
33,0,33,1,7,12,3,8
35,0,35,1,5,18,14,13
8,0,8,0,32,15,15,11
35,0,35,1,5,5,2,7
4,0,4,0,36,16,17,11
20,0,20,0,20,9,13,0
18,0,18,0,22,16,6,4
12,0,12,0,28,3,9,13
0,0,0,0,40,0,9,6
30,0,30,0,10,1,18,1
13,0,13,1,27,19,19,2
26,0,26,0,14,1,16,17
16,0,16,0,24,18,13,6
14,0,14,0,26,14,2,0
35,1,36,0,4,2,18,14
3,0,3,1,37,17,2,10
29,0,29,1,11,2,3,9
29,0,29,1,11,2,1,17
15,0,15,1,25,11,18,6
10,0,10,0,30,5,9,11
0,0,0,0,40,5,4,14
37,0,37,1,3,3,1,12
37,0,37,1,3,12,8,4
9,1,10,0,30,0,14,13
1,1,2,0,38,4,19,14
4,0,4,0,36,11,11,2
2,0,2,0,38,9,12,3
33,0,33,1,7,13,16,13
35,0,35,1,5,4,18,2
6,0,6,0,34,12,5,17
29,0,29,1,11,15,19,2
7,0,7,1,33,7,10,19
14,0,14,0,26,5,18,13
23,0,23,1,17,11,2,8
28,0,28,0,12,11,1,5
34,0,34,0,6,1,17,6
1,0,1,1,39,11,13,14
7,0,7,1,33,3,3,15
11,0,11,1,29,11,17,4
12,0,12,0,28,18,2,10
39,0,39,1,1,10,13,19
31,0,31,1,9,15,4,5
12,1,13,1,27,6,1,13
38,0,38,0,2,18,16,3
19,0,19,1,21,16,16,16
20,0,20,0,20,18,2,3
17,1,18,0,22,14,1,5
5,0,5,1,35,12,12,9
37,0,37,1,3,10,0,7
0,0,0,0,40,18,14,3
6,0,6,0,34,16,18,12
9,1,10,0,30,8,15,0
11,0,11,1,29,1,4,19
5,0,5,1,35,0,3,1
0,0,0,0,40,4,13,6
27,0,27,1,13,1,1,18
38,0,38,0,2,4,10,3
4,0,4,0,36,2,8,1
11,0,11,1,29,19,14,14
20,1,21,1,19,1,4,1
37,0,37,1,3,12,15,17
27,0,27,1,13,7,13,9
30,0,30,0,10,3,4,17
23,0,23,1,17,14,7,4
16,0,16,0,24,19,1,2
7,0,7,1,33,15,8,19
34,0,34,0,6,19,5,15
32,0,32,0,8,11,2,18
1,0,1,1,39,13,11,6
28,0,28,0,12,2,11,8
3,0,3,1,37,17,1,11
29,0,29,1,11,14,3,8
33,0,33,1,7,5,1,4
5,0,5,1,35,7,13,7
17,0,17,1,23,12,6,12
4,1,5,1,35,0,1,0
22,0,22,0,18,16,3,6
37,0,37,1,3,5,19,5
3,0,3,1,37,1,5,1
15,1,16,0,24,6,13,2
38,0,38,0,2,16,9,9
12,0,12,0,28,5,3,2
5,0,5,1,35,10,6,6
19,0,19,1,21,16,0,11
20,0,20,0,20,0,14,17
26,0,26,0,14,15,6,1
12,0,12,0,28,5,9,8
38,0,38,0,2,13,3,2
20,0,20,0,20,3,16,8
11,0,11,1,29,2,4,9
38,0,38,0,2,15,11,15
36,0,36,0,4,16,17,8
19,0,19,1,21,19,14,18
0,0,0,0,40,13,12,2
23,0,23,1,17,9,17,1
22,0,22,0,18,3,3,0
5,0,5,1,35,5,19,7
25,0,25,1,15,12,11,3
33,0,33,1,7,6,8,1
4,0,4,0,36,9,5,4
28,0,28,0,12,3,14,19
5,0,5,1,35,8,19,16
29,0,29,1,11,4,13,0
16,0,16,0,24,2,0,18
0,0,0,0,40,2,9,4
38,0,38,0,2,10,14,8
6,0,6,0,34,7,7,6
23,0,23,1,17,1,15,8
7,0,7,1,33,10,14,15
37,0,37,1,3,3,1,14
29,0,29,1,11,0,11,11
32,0,32,0,8,2,3,12
17,0,17,1,23,8,9,14
18,0,18,0,22,19,7,3
25,0,25,1,15,4,16,7
31,0,31,1,9,5,17,2
33,0,33,1,7,4,9,14
0,1,1,1,39,7,10,8
26,0,10,0,14,14,12,12
4,0,4,0,36,6,13,11
11,0,11,1,29,13,12,5
33,0,33,1,7,17,15,2
10,0,10,0,30,18,19,19
31,0,31,1,9,11,16,5
18,0,18,0,22,14,2,2
9,0,9,1,31,18,9,6
13,1,14,0,26,15,9,18
21,0,21,1,19,5,10,5
30,0,30,0,10,2,10,19
24,0,24,0,16,2,14,9
37,0,37,1,3,17,8,17
34,0,34,0,6,11,5,13
30,0,30,0,10,5,9,0
24,0,24,0,16,6,17,10
11,0,11,1,29,5,6,8
16,0,16,0,24,16,0,4
4,0,4,0,36,12,19,10
14,0,14,0,26,17,3,2
37,0,37,1,3,6,12,13
17,0,17,1,23,9,16,16
4,0,4,0,36,2,5,1
26,1,27,1,13,19,6,9
38,0,38,0,2,10,5,13
34,0,34,0,6,11,2,1
10,0,10,0,30,8,3,7
18,0,18,0,22,5,3,5
21,0,21,1,19,18,9,0
9,0,9,1,31,9,10,16
10,0,10,0,30,13,0,8
9,0,9,1,31,0,16,15
39,0,39,1,1,5,13,11
29,0,29,1,11,16,1,17
33,0,33,1,7,1,16,19
32,0,32,0,8,2,0,12
38,0,38,0,2,16,11,7
4,0,4,0,36,6,9,8
35,0,26,1,5,5,10,16
2,1,3,1,37,11,19,8
19,0,19,1,21,3,18,10
23,0,23,1,17,0,5,3
14,0,14,0,26,0,11,19
5,0,5,1,35,1,19,13
7,0,7,1,33,3,14,6
32,0,32,0,8,13,17,11
12,0,12,0,28,5,8,8
12,0,12,0,28,1,5,3
36,0,36,0,4,0,10,17
5,0,5,1,35,9,16,17
36,0,36,0,4,16,18,16
36,0,36,0,4,6,13,7
23,0,23,1,17,1,14,5
6,0,6,0,34,4,10,0
6,0,6,0,34,9,6,14
11,0,11,1,29,3,8,6
23,0,23,1,17,19,9,17
6,0,6,0,34,15,16,17
18,0,18,0,22,6,11,2
4,0,4,0,36,19,15,18
21,0,21,1,19,6,0,2
0,0,0,0,40,2,15,9
28,0,28,0,12,18,10,9
2,0,2,0,38,19,19,19
7,0,7,1,33,6,9,13
6,0,6,0,34,11,9,17
33,0,33,1,7,3,2,11
2,0,2,0,38,12,16,16
17,0,17,1,23,13,14,17
23,0,23,1,17,14,17,17
20,0,20,0,20,11,1,8
27,0,27,1,13,14,4,7
32,0,32,0,8,11,17,19
15,0,15,1,25,16,0,15
33,0,33,1,7,3,10,18
12,0,12,0,28,9,8,11
39,0,39,1,1,8,18,18
20,0,20,0,20,10,17,14
29,0,29,1,11,2,17,14
35,0,35,1,5,6,5,3
31,0,31,1,9,19,11,11
34,0,34,0,6,2,14,14
21,1,22,0,18,12,19,15
1,0,1,1,39,13,0,19
19,0,19,1,21,9,19,6
7,0,7,1,33,0,7,6
35,0,35,1,5,0,2,19
9,0,9,1,31,5,12,19
9,0,9,1,31,2,15,3
9,0,9,1,31,1,2,7
25,0,25,1,15,3,0,18
22,0,22,0,18,3,17,3
37,0,37,1,3,16,18,15
16,0,16,0,24,12,3,2
11,0,11,1,29,0,18,3
1,0,1,1,39,12,18,15
0,0,0,0,40,2,19,12
14,0,14,0,26,8,4,11
37,0,37,1,3,0,11,17
20,0,20,0,20,1,19,6
35,1,36,0,4,2,18,10
4,0,4,0,36,8,12,12
3,0,3,1,37,9,3,14
33,0,33,1,7,7,1,6
4,0,4,0,36,12,5,12
2,0,2,0,38,14,1,8
16,0,16,0,24,14,3,10
36,0,36,0,4,11,1,17
27,0,27,1,13,10,15,7
3,0,3,1,37,9,11,13
33,0,33,1,7,4,10,18
33,0,33,1,7,9,16,15
32,0,32,0,8,0,8,19
36,0,36,0,4,19,8,11
9,0,9,1,31,7,4,5
39,0,39,1,1,15,8,19
12,0,12,0,28,19,3,12
32,0,32,0,8,9,11,4
23,0,23,1,17,17,19,6
31,0,31,1,9,9,10,5
25,0,25,1,15,2,5,16
25,0,25,1,15,0,13,1
24,0,24,0,16,2,16,14
31,0,31,1,9,18,9,11
29,0,29,1,11,9,5,1
5,0,5,1,35,6,14,12
33,0,33,1,7,8,3,15
21,0,29,1,19,5,19,14
12,1,13,1,27,17,6,10
20,0,20,0,20,19,7,6
38,0,38,0,2,1,14,3
34,0,34,0,6,14,0,0
33,0,33,1,7,6,4,7
18,0,18,0,22,0,2,12
31,0,31,1,9,18,7,0
15,0,15,1,25,1,11,19
27,0,27,1,13,4,3,11
25,0,25,1,15,0,6,5
9,0,9,1,31,9,15,19
10,0,10,0,30,11,18,3
2,1,3,1,37,6,0,19
5,0,5,1,35,1,12,5
17,0,17,1,23,2,0,7
19,0,19,1,21,18,10,8
6,0,6,0,34,16,17,19
16,0,16,0,24,18,15,5
24,0,24,0,16,10,4,19
9,0,9,1,31,10,5,6
13,0,13,1,27,15,15,5
14,0,14,0,26,12,16,12
20,0,20,0,20,8,5,13
14,0,14,0,26,5,0,6
29,0,29,1,11,9,8,2
13,0,13,1,27,1,12,7
17,0,17,1,23,3,8,10
15,0,15,1,25,14,18,0
7,1,8,0,32,17,16,1
27,0,27,1,13,2,15,18
9,0,9,1,31,1,0,0
11,0,11,1,29,1,17,8
31,0,31,1,9,15,15,15
37,0,37,1,3,6,7,6
26,0,26,0,14,6,11,9
36,0,36,0,4,0,16,1
34,0,34,0,6,19,18,15
19,0,19,1,21,8,11,12
30,0,30,0,10,15,0,17
13,0,13,1,27,14,12,17
18,0,18,0,22,2,13,7
21,0,21,1,19,16,1,0
38,0,38,0,2,11,16,6
33,0,33,1,7,12,4,2
19,0,19,1,21,4,17,10
26,0,26,0,14,16,11,2
8,0,8,0,32,18,6,18
32,0,32,0,8,8,1,12
22,0,22,0,18,1,0,5
21,0,21,1,19,16,14,18
30,0,30,0,10,17,7,15
25,0,25,1,15,10,16,8
2,0,2,0,38,11,4,2
11,0,11,1,29,4,18,6
7,0,7,1,33,1,18,11
29,0,29,1,11,18,2,15
1,0,1,1,39,9,12,5
8,0,8,0,32,5,18,14
23,0,23,1,17,13,6,5
27,0,27,1,13,0,1,4
20,0,20,0,20,1,17,8
34,0,34,0,6,4,9,3
36,0,36,0,4,9,0,8
5,0,5,1,35,7,16,7
38,0,38,0,2,3,13,5
24,0,24,0,16,7,1,15
25,0,25,1,15,6,5,6
3,0,3,1,37,10,0,13
24,0,24,0,16,11,19,14
29,0,29,0,11,17,0,13
23,0,23,1,17,16,15,5
3,0,3,1,37,5,10,16
20,0,20,0,20,18,11,4
37,0,37,1,3,10,16,5
28,0,28,0,12,3,17,17
5,0,5,1,35,6,2,6
38,0,38,0,2,14,0,13
38,0,38,0,2,16,2,0
6,0,6,0,34,7,13,12
32,0,32,0,8,3,11,17
16,0,16,0,24,3,1,14
23,0,23,1,17,2,4,11
17,0,17,1,23,13,10,16
31,0,31,1,9,10,14,5
39,0,39,1,1,9,6,7
31,0,31,1,9,13,18,1
37,0,37,1,3,16,19,13
37,0,37,1,3,15,15,14
3,0,3,1,37,2,9,15
10,0,10,0,30,11,17,14
28,0,28,0,12,17,14,2
23,0,23,1,17,15,10,13
2,1,3,1,37,6,8,15
3,0,3,1,37,7,16,4
20,0,20,0,20,17,11,9
24,1,25,1,15,0,3,18
6,0,6,0,34,10,19,8
6,0,6,0,34,2,1,15
5,0,5,1,35,17,13,10
22,1,23,1,17,0,13,13
0,0,0,0,40,0,11,12
22,0,22,0,18,6,1,13
19,0,19,1,21,4,9,15
18,0,18,0,22,9,17,18
27,0,27,1,13,5,4,5
20,0,20,1,20,7,13,18
29,1,30,0,10,11,17,12
30,0,30,0,10,11,19,11
36,0,36,0,4,18,10,6
31,0,31,1,9,9,6,8
20,0,20,0,20,11,13,13
19,0,19,1,21,13,9,7
9,0,9,1,31,3,12,5
23,0,23,1,17,13,14,16
5,0,5,1,35,17,14,8
37,0,37,1,3,6,4,12
33,0,33,1,7,3,15,0
4,0,4,0,36,6,10,1
31,0,31,1,9,5,18,16
4,0,4,0,36,11,13,2
28,0,28,0,12,17,17,15
3,0,3,1,37,11,19,18
19,0,19,1,21,2,19,9
26,0,26,0,14,6,14,17
29,0,29,1,11,13,11,8
16,0,16,0,24,6,2,19
36,0,36,0,4,11,7,4
30,0,30,0,10,13,9,8
8,0,8,0,32,6,15,7
26,0,26,0,14,12,11,15
29,0,29,1,11,7,8,0
13,0,13,1,27,2,2,16
29,0,29,1,11,7,14,0
35,0,17,1,5,8,8,6
32,0,32,0,8,0,0,11
30,0,30,0,10,17,5,2
25,0,25,1,15,10,17,9
10,1,11,1,29,0,2,19
31,0,31,1,9,17,8,16
14,0,14,0,26,17,10,0
21,0,21,1,19,0,1,11
12,0,3,0,28,3,3,11
12,0,12,0,28,7,18,1
6,0,6,0,34,10,11,13
38,0,38,0,2,14,4,10
5,0,5,1,35,8,3,13
3,0,3,1,37,12,8,5
37,0,37,1,3,0,14,5
22,0,22,0,18,13,14,14
17,0,17,1,23,18,3,14
29,0,29,1,11,10,14,3
15,1,16,0,24,9,17,4
5,0,5,1,35,5,4,11
29,0,29,1,11,19,0,16
7,0,7,1,33,0,19,4
22,0,22,0,18,5,10,4
37,0,37,1,3,2,15,16
37,0,37,1,3,17,6,13
14,0,14,0,26,9,5,18
31,0,31,1,9,18,4,15
24,1,25,1,15,13,4,19
19,0,19,1,21,11,9,3
5,0,5,1,35,10,2,5
15,0,15,1,25,4,16,4
26,0,26,0,14,11,10,1
39,0,39,1,1,13,18,15
0,0,0,0,40,19,10,13
28,0,28,0,12,10,6,1
33,0,33,1,7,18,10,3
38,0,38,0,2,18,3,3
16,0,16,0,24,10,16,8
4,0,4,0,36,8,14,9
10,0,10,0,30,2,2,5
34,0,34,0,6,5,11,18
35,0,35,1,5,17,10,4
25,0,25,1,15,2,4,11
4,0,4,0,36,7,2,8
4,0,4,0,36,13,15,7
19,0,19,1,21,4,5,16
23,0,23,1,17,19,10,19
1,0,1,1,39,12,4,0
27,0,27,1,13,0,13,9
21,0,21,1,19,4,0,2
0,0,0,0,40,14,7,8
3,0,3,1,37,17,10,12
18,0,18,0,22,18,8,8
28,0,28,0,12,17,12,6
33,0,33,1,7,1,3,6
17,0,17,1,23,14,8,5
11,0,11,1,29,2,15,6
38,0,38,0,2,1,6,7
18,0,18,0,22,13,3,13
12,0,12,0,28,9,16,1
17,0,17,1,23,12,15,0
0,0,0,0,40,17,13,10
12,0,12,0,28,1,15,13
20,0,20,0,20,10,15,5
36,0,36,0,4,16,14,4
29,0,29,1,11,8,10,12
31,0,31,1,9,10,0,7
21,0,21,1,19,9,11,14
4,0,4,0,36,18,5,2
15,0,15,1,25,0,15,2
39,0,39,1,1,17,9,11
1,0,1,1,39,16,18,7
35,0,35,1,5,16,11,14
27,0,27,1,13,8,11,10
11,0,11,1,29,10,18,7
31,0,31,1,9,7,9,3
33,0,33,1,7,5,7,3
1,0,1,1,39,17,7,15
4,0,4,0,36,10,17,4
26,0,26,0,14,14,15,10
39,0,39,1,1,2,3,16
0,0,0,0,40,15,9,17
26,0,26,0,14,13,7,5
5,0,5,1,35,19,12,2
26,0,26,0,14,2,1,15
24,0,24,0,16,10,14,13
3,0,3,1,37,10,14,6
27,0,27,1,13,10,4,11
35,0,35,1,5,1,3,3
34,0,34,0,6,9,12,14
1,0,1,1,39,5,5,14
9,0,9,1,31,12,18,5
9,1,10,0,30,4,15,9
18,0,18,0,22,8,19,6
5,0,5,1,35,12,10,0
34,0,34,0,6,1,18,2
31,0,31,1,9,15,0,19
32,0,32,0,8,14,5,9
7,0,7,1,33,1,0,2
0,0,0,0,40,1,13,0
36,0,36,0,4,17,10,7
11,0,11,1,29,5,5,19
26,0,26,0,14,17,6,7
36,0,36,0,4,9,12,19
1,0,1,1,39,6,3,9
0,0,0,0,40,5,10,15
0,0,0,0,40,13,12,15
6,0,6,0,34,2,4,0
2,0,2,0,38,8,4,0
32,0,32,0,8,6,7,18
24,0,24,0,16,3,11,18
39,0,39,1,1,7,5,2
32,0,32,0,8,10,7,12
38,0,38,0,2,13,10,18
9,0,9,1,31,1,3,19
11,0,11,1,29,17,11,5
33,1,34,0,6,17,2,16
9,0,9,1,31,13,2,12
2,0,2,0,38,18,4,18
26,0,26,0,14,8,5,2
32,0,32,0,8,16,0,12
38,0,38,0,2,14,19,0
37,1,38,0,2,11,6,7
4,1,5,1,35,3,16,0
30,0,30,0,10,11,18,8
33,0,33,1,7,18,16,16
27,0,27,1,13,19,16,13
32,0,32,0,8,8,2,6
33,0,33,1,7,4,7,8
17,0,17,1,23,14,14,7
1,0,1,1,39,1,11,14
18,0,18,0,22,3,0,5
8,0,8,0,32,11,11,1
4,1,5,1,35,19,16,10
